epoch,train_loss,train_acc,val_loss,val_acc
0,0.6862264533837636,0.5536,0.6909684340159098,0.5208
1,0.6396349449952443,0.6495,0.6944150726000468,0.5042
2,0.6028130372365316,0.7016,0.7656836827596029,0.4750
3,0.5654832065105438,0.7536,0.6255025188128154,0.6458
4,0.5349021166563034,0.7937,0.6035373091697693,0.6625
5,0.5190706382195155,0.8151,0.5754126906394958,0.7208
6,0.49707529743512474,0.8417,0.5654150088628133,0.7333
7,0.4736248979965846,0.8703,0.5577712972958883,0.7458
8,0.46298791269461315,0.8906,0.5539004862308502,0.7500
9,0.45824624300003053,0.8885,0.5536990523338318,0.7417
10,0.45488523443539935,0.8943,0.5511427919069926,0.7292
11,0.4523174961407979,0.9000,0.5508721868197123,0.7500
12,0.44910828669865926,0.9052,0.5474969983100891,0.7417
13,0.44653988083203633,0.9016,0.5484377185503642,0.7417
14,0.4396265268325806,0.9151,0.5486637969811757,0.7458
15,0.4387761781613032,0.9125,0.5483920415242513,0.7375
16,0.4421896199385325,0.9125,0.5479938705762227,0.7458
17,0.4405842552582423,0.9099,0.5477835536003113,0.7500
18,0.43838700552781423,0.9177,0.5462314367294312,0.7583
19,0.4422975877920787,0.9089,0.547564693291982,0.7500
20,0.44048127432664236,0.9125,0.5454095721244812,0.7542
21,0.4374593277772268,0.9156,0.5462369203567505,0.7542
22,0.4369502902030945,0.9177,0.5468089540799459,0.7500
23,0.4392522821823756,0.9156,0.5459472060203552,0.7458
24,0.4371000121037165,0.9172,0.5467761476834615,0.7542
25,0.44055082003275553,0.9109,0.5455305854479472,0.7542
26,0.43872116108735404,0.9120,0.5460890213648478,0.7625
27,0.4395619442065557,0.9104,0.5460708340009054,0.7458
28,0.44353294173876445,0.9115,0.5452076355616252,0.7500
29,0.43776706357796985,0.9151,0.54648832877477,0.7500
30,0.43982346256573995,0.9073,0.5470688700675964,0.7500
31,0.44273519118626914,0.9031,0.544668972492218,0.7500
32,0.4404442210992177,0.9130,0.5455157001813252,0.7542
33,0.44103239277998607,0.9120,0.5459097822507223,0.7500
34,0.4451558868090312,0.9026,0.5477922240893046,0.7333
35,0.4384252279996872,0.9109,0.5470056613286336,0.7500
36,0.44178875982761384,0.9120,0.5455457448959351,0.7458
37,0.4397311250368754,0.9151,0.5467066089312236,0.7542
38,0.44196691115697223,0.9089,0.5456188758214314,0.7625
39,0.44043782850106555,0.9156,0.5455081661542257,0.7458
40,0.439062358935674,0.9193,0.5462281167507171,0.7417
41,0.43961313168207805,0.9172,0.5463439146677653,0.7542
42,0.4399133523305257,0.9094,0.5459040244420369,0.7542
43,0.4441516349713008,0.9026,0.5464733322461446,0.7500
44,0.44119316240151724,0.9068,0.5470925052960713,0.7500
45,0.43565488457679746,0.9172,0.5463639775911967,0.7500
Early stopping
Training complete in 1m 10s
Test Acc: 0.7708
