epoch,train_loss,train_acc,val_loss,val_acc
0,0.6056890415924566,0.6887,0.5636973336890891,0.7396
1,0.538893925095046,0.7587,0.5389935462563126,0.7616
2,0.5241117198710088,0.7795,0.4907445995895951,0.8137
3,0.5004972815513611,0.8028,0.49170118791085704,0.8148
4,0.4903424848560934,0.8144,0.49007523942876746,0.8171
5,0.4793053799205356,0.8265,0.4967001908355289,0.8032
6,0.46920535023565646,0.8359,0.4788449627381784,0.8252
7,0.450352574940081,0.8547,0.44950103759765625,0.8611
8,0.4366636096879288,0.8723,0.44432967018198083,0.8669
9,0.4340958540086393,0.8737,0.4488838624071192,0.8588
10,0.4284524818261464,0.8822,0.44801206169305025,0.8542
11,0.42121214392008605,0.8882,0.4407391305323,0.8634
12,0.4175029049317042,0.8957,0.4449291405854402,0.8634
13,0.4161787907834406,0.8941,0.4384629472538277,0.8657
14,0.4092211163154355,0.9015,0.43536217897026624,0.8715
15,0.40614384026439104,0.9044,0.4352677486560963,0.8681
16,0.4051135560428655,0.9077,0.4384157580358011,0.8634
17,0.4060757844536393,0.9054,0.4358967829633642,0.8704
18,0.40222588264279896,0.9110,0.4351089596748352,0.8669
19,0.4072677402032746,0.9038,0.4341574211915334,0.8750
20,0.4050951900857466,0.9049,0.4352195307060524,0.8738
21,0.40237183979264013,0.9103,0.432897773053911,0.8704
22,0.4032252072184174,0.9064,0.4327171135831762,0.8762
23,0.405403095263022,0.9070,0.43485632649174444,0.8727
24,0.40244044694635606,0.9096,0.434607266275971,0.8727
25,0.4025057601156058,0.9100,0.434673892127143,0.8750
26,0.4015458303469199,0.9100,0.43310770944312765,0.8762
27,0.4013527998769725,0.9106,0.43474243194968615,0.8750
28,0.4045883461281105,0.9068,0.4330906669298808,0.8785
29,0.4028853293922212,0.9083,0.43438112956506236,0.8738
30,0.4039107784628868,0.9086,0.43514820050310205,0.8715
31,0.4020695520771874,0.9107,0.433640647817541,0.8750
32,0.4021768211214631,0.9110,0.4352624239744963,0.8727
33,0.40299724842663165,0.9097,0.43345440868978147,0.8762
34,0.40436401466528576,0.9058,0.43309370014402604,0.8727
35,0.40286823693248963,0.9093,0.43289682269096375,0.8762
36,0.4035588168987521,0.9086,0.43424796837347523,0.8727
37,0.4044511000867243,0.9070,0.4343453292493467,0.8750
38,0.40179501115171995,0.9100,0.4342049978397511,0.8727
Early stopping
Training complete in 4m 5s
Test Acc: 0.8669
