epoch,train_loss,train_acc,val_loss,val_acc
0,0.763467414187907,0.7318,1.2275449808378864,0.3872
1,0.6881670401110287,0.8319,0.8132397433868924,0.6880
2,0.6697705926851322,0.8521,0.7174919467223319,0.7989
3,0.6498919577028917,0.8793,0.7139485805554497,0.7989
4,0.6348030106565209,0.8975,0.6762265459935468,0.8440
5,0.6164928463566971,0.9213,0.6871458354749178,0.8308
6,0.6005116048313323,0.9411,0.6981599156121562,0.8271
7,0.5840844531405839,0.9603,0.6507255641141332,0.8722
8,0.5772645277785777,0.9701,0.651032196848016,0.8778
9,0.5732124643019069,0.9749,0.6492401693100319,0.8797
10,0.5702630283440165,0.9783,0.645644597989276,0.8835
11,0.5691842581196038,0.9804,0.6511214940171492,0.8759
12,0.5662007375667767,0.9835,0.6475335260979215,0.8797
13,0.5641293036210706,0.9856,0.6475066331992472,0.8778
14,0.5636779192894225,0.9873,0.6453692684496256,0.8816
15,0.561894014365691,0.9883,0.6460412131216293,0.8853
16,0.5626582708474289,0.9873,0.6466561376600337,0.8797
17,0.5631344012648439,0.9875,0.6471236634971504,0.8797
18,0.5621397055081756,0.9883,0.6447948916514117,0.8835
19,0.5623839870530959,0.9887,0.644972560997296,0.8853
20,0.5615852234656351,0.9891,0.6461325095112163,0.8835
21,0.5619658805871867,0.9893,0.6445246674960717,0.8872
22,0.5618996027617427,0.9889,0.646849741164903,0.8853
23,0.5622651871782397,0.9885,0.6463029317389754,0.8835
24,0.5618610650973213,0.9885,0.6456771802185173,0.8835
25,0.5615530718139737,0.9885,0.6459511137546453,0.8816
26,0.5630882491941938,0.9873,0.6460963111174735,0.8797
27,0.5621455106121754,0.9883,0.6447203585079738,0.8835
28,0.5621237728928364,0.9881,0.6431553332429183,0.8872
29,0.5614772303560523,0.9883,0.648223112400313,0.8797
30,0.5622638762246198,0.9879,0.6437965281923911,0.8853
31,0.5617097648562445,0.9889,0.6461250889570194,0.8835
32,0.5622835519817738,0.9887,0.6450560460413309,0.8816
33,0.5621152818949898,0.9881,0.6476068667003086,0.8835
34,0.5619893616801416,0.9889,0.6466037599663985,0.8853
35,0.562622554618912,0.9875,0.6477667752065157,0.8797
36,0.5621377714694094,0.9877,0.6469086148685083,0.8853
37,0.5623143134559306,0.9881,0.6465453209733605,0.8853
38,0.5624826879628818,0.9877,0.6474463599068778,0.8835
39,0.5620112851349234,0.9887,0.6451605029572222,0.8797
Early stopping
Training complete in 2m 57s
